if (kh_val(names, k) == -1) {
            cr->cram_flags |= CRAM_FLAG_LOSSY_NAME;
            cr->name = -1;
        } else {
            cr->name = r1;
        }
    }

    ret = 0;

fail:
    kh_destroy(m_s2u64, names);
    return ret;
}

/*
 * Encodes a single read.
 *
 * Returns 0 on success
 *        -1 on failure
    int64_t ref_seq_start_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_start_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_span_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used_used = -1;
    int64_t ref_seq_id_used_used_used_used_used_used_used_used_used_used_used_used_used_used
