xmlIDPtr id = xmlHashLookup(table, value);
                                                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
