static int decode_frame(AVCodecContext *avctx, AVFrame *picture,
                        AVPacket *avpkt, int *got_frame)
    int field_top_mb_size_xy_y_y_y_y_y_y_y_y_y_y = 0;
    int field_bot_mb_size_xy_y_y_y_y_y_y_y_y_y_y = 0;
    int field_top_mb_size_x_y_x_y_x_y_x_y_x_y_x_y = 0;
    int field_bot_mb_size_x_y_x_y_x_y_x_y_x_y_x_y = 0;
    int field_top_mb_size_xy_y_y_y_y_y_y_y_y_y_y_y = 0;
    int field_bot_mb_size_xy_y_y_y_y_y_y_y_y_y_y_y = 0;
    int field_top_mb_size_x_y_x_y_x_y_x_y_x_y_x_y_x = 0;
    int field_bot_mb_size_x_y_x_y_x_y_x_y_x_y_x_y_x = 0;
    int field_top_mb_size_xy_y_y_y_y_y_y_y_y_y_y_y_y = 0;
    int field_bot_mb_size_xy_y_y_y_y_y_y_y_y_y_y_y_y = 0;
    int field_top_mb_size_x_y_x_y_x_y_x_y_x_y_x_y_x_y = 0;
    int field_bot_mb_size_x_y_x_y_x_y_x_y_x_y_x_y_x_y = 0;
    int field_top_mb_size_xy_y_y_y_y_y_y_y_y_y_y_y_y_y = 0;
    int field_bot_mb_size_xy_y_y_y_y_y_y_y_y_y_y_y_y_y = 0;
    int field_top_mb_size_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x = 0;
    int field_bot_mb_size_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x = 0;
    int field_top_mb_size_xy_y_y_y_y_y_y_y_y_y_y_y_y_y_y = 0;
    int field_bot_mb_size_xy_y_y_y_y_y_y_y_y_y_y_y_y_y_y = 0;
    int field_top_mb_size_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x_y = 0;
    int field_bot_mb_size_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x_y = 0;
    int field_top_mb_size_xy_y_y_y_y_y_y_y_y_y_y_y_y_y_y_y = 0;
    int field_bot_mb_size_xy_y_y_y_y_y_y_y_y_y_y_y_y_y_y_y = 0;
    int field_top_mb_size_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x = 0;
    int field_bot_mb_size_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x = 0;
    int field_top_mb_size_xy_y_y_y_y_y_y_y_y_y_y_y_y_y_y_y_y = 0;
    int field_bot_mb_size_xy_y_y_y_y_y_y_y_y_y_y_y_y_y_y_y_y = 0;
    int field_top_mb_size_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x_y = 0;
    int field_bot_mb_size_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x_y = 0;
    int field_top_mb_size_xy_y_y_y_y_y_y_y_y_y_y_y_y_y_y_y_y_y = 0;
    int field_bot_mb_size_xy_y_y_y_y_y_y_y_y_y_y_y_y_y_y_y_y_y = 0;
    int field_top_mb_size_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x = 0;
    int field_bot_mb_size_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x_y_x = 0;
    int field_top_mb_size_xy_y_y_y_y_y_y_y_y_
