h6" },
    { "frameset", "frameset" },
    { "frameset", "h1" },
    { "frameset", "h2" },
    { "frameset", "h3" },
    { "frameset", "h4" },
    { "frameset", "h5" },
    { "frameset", "h6" },
    { "frameset", "p" },
    { "frameset", "td" },
    { "frameset", "th" },
    { "frameset", "table" },
    { "h1", "body" },
    { "h1", "center" },
    { "h1", "div" },
    { "h1", "fieldset" },
    { "h1", "form" },
    { "h1", "frameset" },
    { "h1", "h1" },
    { "h1", "h2" },
    { "h1", "h3" },
    { "h1", "h4" },
    { "h1", "h5" },
    { "h1", "h6" },
    { "h1", "p" },
    { "h1", "td" },
    { "h1", "th" },
    { "h1", "table" },
    { "h2", "body" },
    { "h2", "center" },
    { "h2", "div" },
    { "h2", "fieldset" },
    { "h2", "form" },
    { "h2", "frameset" },
    { "h2", "h1" },
    { "h2", "h2" },
    { "h2", "h3" },
    { "h2", "h4" },
    { "h2", "h5" },
    { "h2", "h6" },
    { "h2", "p" },
    { "h2", "td" },
    { "h2", "th" },
    { "h2", "table" },
    { "h3", "body" },
    { "h3", "center" },
