scpd > checkcpdtable.size()) {
            scpd = 0;
            break;
          }
        }

        if (onlycpdrule) {
          if (words[wordnum]->astr) {
            if (TESTAFF(words[wordnum]->astr, checkcompoundcase, words[wordnum]->alen)) {
                                                                                                                                                                  if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                    if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                      if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                        if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                          if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                            if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                              if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                  if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                    if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                      if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                        if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                          if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                            if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                              if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                  if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                    if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                      if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                        if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                          if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                            if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                              if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                                if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                                  if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                                    if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                                      if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                                        if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                                          if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                                            if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                                              if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                                                if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                                                  if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                                                    if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                                                      if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                                                        if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                                                                                          if (TESTAFF(words[wordnum]->astr,
