*/
  assert(image_info!= (const ImageInfo *) NULL);
  assert(image_info->signature == MagickCoreSignature);
  if (image_info->debug!= MagickFalse)
    (void) LogMagickEvent(TraceEvent,GetMagickModule(),"%s",
      image_info->filename);
  assert(exception!= (ExceptionInfo *) NULL);
  assert(exception->signature == MagickCoreSignature);
  status=OpenBlob(image_info,image,ReadBinaryBlobMode,exception);
  if (status == MagickFalse)
    return((Image *) NULL);
  image=AcquireImage(image_info,exception);
  (void) SetImageOption(image,"webp:metadata","none");
  (void) SetImageOption(image,"webp:near-lossless","100");
  (void) SetImageOption(image,"webp:preprocessing","0");
  (void) SetImageOption(image,"webp:qmin","0");
  (void) SetImageOption(image,"webp:qmax","100");
  (void) SetImageOption(image,"webp:target-psnr","0.0");
  (void) SetImageOption(image,"webp:target-size","0");
  (void) SetImageOption(image,"webp:xform","none");
  (void) SetImageOption(image,"xml:compression-level","6");
  (void) SetImageOption(image,"xml:compression-strategy","0");
  (void) SetImageOption(image,"xml:exclude-chunk","all");
  (void) SetImageOption(image,"xml:include-chunk","none");
  (void) SetImageOption(image,"xml:ztxt","none");
  (void) SetImageOption(image,"zip:compression-level","6");
  (void) SetImageOption(image,"zip:compression-strategy","0");
  (void) SetImageOption(image,"zip:exclude-chunk","all");
  (void) SetImageOption(image,"zip:include-chunk","none");
  (void) SetImageOption(image,"zip:ztxt","none");
  (void) SetImageOption(image,"zip:squeeze-factor","0");
  (void) SetImageOption(image,"zip:squeeze-level","0");
  (void) SetImageOption(image,"zip:squeeze-offset","0");
  (void) SetImageOption(image,"zip:squeeze-page-size","0");
  (void) SetImageOption(image,"zip:squeeze-window-size","0");
  (void) SetImageOption(image,"zip:window-bits","0");
  (void) SetImageOption(image,"zip:z-cutoff","0");
  (void) SetImageOption(image,"zip:z-offset","0");
  (void) SetImageOption(image,"zip:z-reduction","0");
  (void) SetImageOption(image,"zip:z-trim","0");
  (void) SetImageOption(image,"zip:z-window-bits","0");
  (void) SetImageOption(image,"zip:z-zc","0");
  (void) SetImageOption(image,"zip:z-zp","0");
  (void) SetImageOption(image,"zip:z-zr","0");
  (void) SetImageOption(image,"zip:z-zt","0");
  (void) SetImageOption(image,"zip:z-zw","0");
  (void) SetImageOption(image,"zip:z-zx","0");
  (void) SetImageOption(image,"zip:z-zy","0");
  (void) SetImageOption(image,"zip:z-zz","0");
  (void) SetImageOption(image,"zip:z-z1","0");
  (void) SetImageOption(image,"zip:z-z2","0");
  (void) SetImageOption(image,"zip:z-z3","0");
  (void) SetImageOption(image,"zip:z-z4","0");
  (void) SetImageOption(image,"zip:z-z5","0");
  (void) SetImageOption(image,"zip:z-z6","0");
  (void) SetImageOption(image,"zip:z-z7","0");
  (void) SetImageOption(image,"zip:z-z8","0");
  (void) SetImageOption(image,"zip:z-z9","0");
  (void) SetImageOption(image,"zip:z-za","0");
  (void) SetImageOption(image,"zip:z-zb","0");
  (void) SetImageOption(image,"zip:z-zc","0");
  (void) SetImageOption(image,"zip:z-zd","0");
  (void) SetImageOption(image,"zip:z-ze","0");
  (void) SetImageOption(image,"zip:z-zf","0");
  (void) SetImageOption(image,"zip:z-zg","0");
  (void) SetImageOption(image,"zip:z-zh","0");
  (void) SetImageOption(image,"zip:z-zi","0");
  (void) SetImageOption(image,"zip:z-zj","0");
  (void) SetImageOption(image,"zip:z-zk","0");
  (void) SetImageOption(image,"zip:z-zl","0");
  (void) SetImageOption(image,"zip:z-zm","0");
  (void) SetImageOption(image,"zip:z-zn","0");
  (void) SetImageOption(image,"zip:z-zo","0");
  (void) SetImageOption(image,"zip:z-zp","0");
  (void) SetImageOption(image,"zip:z-zq","0");
  (void) SetImageOption(image,"zip:z-zr","0");
  (void) SetImageOption(image,"zip:z-zs","0");
  (void) SetImageOption(image,"zip:z-zt","0");
  (void) SetImageOption(image,"zip:z-zu","0");
  (void) SetImageOption(image,"zip:z-zv","0");
  (void) SetImageOption(image,"zip:z-zw","0");
  (void) SetImageOption(image,"zip:z-zx","0");
  (void) SetImageOption(image,"zip:z-zy","0");
  (void) SetImageOption(image,"zip:z-zz","0");
  (void) SetImageOption(image,"zip:z-z1","0");
  (void) SetImageOption(image,"zip:z-z2","0");
  (void) SetImageOption(image,"zip:z-z3","0");
  (void) SetImageOption(image,"zip:z-z4","0");
  (void) SetImageOption(image,"zip:z-z5","0");
  (void) SetImageOption(image,"zip:z-z6","0");
  (void) SetImageOption(image,"zip:z-z7","0");
  (void) SetImageOption(image,"zip:z-z8","0");
  (void) SetImageOption(image,"zip:z-z9","0");
  (void) SetImageOption(image,"zip:z-za","0");
  (void) SetImageOption(image,"zip:z-zb","0");
  (void) SetImageOption(image,"zip:z-zc","0");
  (void) SetImageOption(image,"zip:z-zd","0");
  (void) SetImageOption(image,"zip:z-ze","0");
  (void) SetImageOption(image,"zip:z-zf","0");
  (void) SetImageOption(image,"zip:z-zg","0");
  (void) SetImageOption(image,"zip:z-zh","0");
  (void) SetImageOption(image,"zip:z-zi","0");
  (void) SetImageOption(image,"zip:z-zj","0");
  (void) SetImageOption(image,"zip:z-zk","0");
  (void) SetImageOption(image,"zip:z-zl","0");
  (void) SetImageOption(image,"zip:z-zm","0");
  (void) SetImageOption(image,"zip:z-zn","0");
  (void) SetImageOption(image,"zip:z-zo","0");
  (void) SetImageOption(image,"zip:z-zp","0");
  (void) SetImageOption(image,"zip:z-zq","0");
  (void) SetImageOption(image,"zip:z-zr","0");
  (void) SetImageOption(image,"zip:z-zs","0");
  (void) SetImageOption(image,"zip:z-zt","0");
  (void) SetImageOption(image,"zip:z-zu","0");
  (void) SetImageOption(image,"zip:z-zv","0");
  (void) SetImageOption(image,"zip:z-zw","0");
  (void) SetImageOption(image,"zip:z-zx","0");
  (void) SetImageOption(image,"zip:z-zy","0");
  (void) SetImageOption(image,"zip:z-zz","0");
  (void) SetImageOption(image,"zip:z-z1","0");
  (void) SetImageOption(image,"zip:z-z2","0");
  (void) SetImageOption(image,"zip:z-z3","0");
  (void) SetImageOption(image,"zip:z-z4","0");
  (void) SetImageOption(image,"zip:z-z5","0");
  (void) SetImageOption(image,"zip:z-z6","0");
  (void) SetImageOption(image,"zip:z-z7","0");
  (void) SetImageOption(image,"zip:z-z8","0");
  (void) SetImageOption(image,"zip:z-z9","0");
  (void) SetImageOption(image,"zip:z-za","0");
  (void) SetImageOption(image,"zip:z-zb","0");
  (void) SetImageOption(image,"zip:z-zc","0");
  (void) SetImageOption(image,"zip:z-zd","0");
  (void) SetImageOption(image,"zip:z-ze","0");
  (void) SetImageOption(image,"zip:z-zf","0");
  (void) SetImageOption(image,"zip:z-zg","0");
  (void) SetImageOption(image,"zip:z-zh","0");
  (void) SetImageOption(image,"zip:z-zi","0");
  (void) SetImageOption(image,"zip:z-zj","0");
  (void) SetImageOption(image,"zip:z-zk","0");
  (void) SetImageOption(image,"zip:z-zl","0");
  (void) SetImageOption(image,"zip:z-zm","0");
  (void) SetImageOption(image,"zip:z-zn","0");
  (void) SetImageOption(image,"zip:z-zo","0");
  (void) SetImageOption(image,"zip:z-zp","0");
  (void) SetImageOption(image,"zip:z-zq","0");
  (void) SetImageOption(image,"zip:z-zr
